country,presidential,legislative_type,elecrule,enep,month,day,year,fh_democracy
Antigua and Barbuda,0,1,1,1.92,4,17,1984,1
Antigua and Barbuda,0,1,1,1.98,3,9,1989,1
Antigua and Barbuda,0,1,1,2.07,3,8,1994,0
Antigua and Barbuda,0,1,1,2.09,3,9,1999,0
Antigua and Barbuda,0,1,1,2.07,3,23,2004,1
Antigua and Barbuda,0,1,1,2.07,3,12,2009,1
Antigua and Barbuda,0,1,1,2.02167,6,12,2014,1
Antigua and Barbuda,0,1,1,2.03328073913821,3,21,2018,1
Albania,0,3,11,2.19,3,22,1992,0
Albania,0,3,12,2.73,5,26,1996,0
Albania,0,3,12,2.87,6,29,1997,0
Albania,0,3,11,3.09,6,24,2001,0
Albania,0,3,11,10.46,7,3,2005,0
Albania,0,2,9,3.18,6,28,2009,0
Albania,0,2,9,3.51184,6,23,2013,0
Albania,0,2,9,2.9440339152707,6,25,2017,0
Andorra,0,3,12,4.82,12,12,1993,1
Andorra,0,3,12,2.6,2,16,1997,1
Andorra,0,3,12,3.28,3,4,2001,1
Andorra,0,3,12,2.77,4,24,2005,1
Andorra,0,3,12,2.94,4,26,2009,1
Andorra,0,3,12,2.32,4,3,2011,1
Andorra,0,3,12,3.539284,3,1,2015,1
Andorra,0,3,12,4.01704835321103,4,7,2019,1
Argentina,0,1,7,5.19,2,24,1946,NA
Argentina,0,1,7,"NA",3,7,1948,NA
Argentina,0,1,1,1.97,11,11,1951,NA
Argentina,0,1,1,1.93,4,25,1954,NA
Argentina,0,1,7,2.83,2,23,1958,NA
Argentina,0,1,7,4.93,3,27,1960,NA
Argentina,0,1,7,5.49,3,18,1962,NA
Argentina,0,2,9,5.57,7,7,1963,NA
Argentina,0,2,9,4.87,3,17,1965,NA
Argentina,0,2,9,3.19,3,11,1973,1
Argentina,0,2,9,2.63,10,30,1983,0
Argentina,0,2,9,4.24,11,3,1985,1
Argentina,0,2,9,3.14,9,6,1987,1
Argentina,0,2,9,3.35,5,14,1989,1
Argentina,0,2,9,3.57,10,27,1991,1
Argentina,0,2,9,3.37,10,3,1993,1
Argentina,0,2,9,3.58,5,14,1995,1
Argentina,0,2,9,3.65,10,26,1997,1
Argentina,0,2,9,3.15,10,24,1999,1
Argentina,0,2,9,4.66,10,14,2001,0
Argentina,0,2,9,4.61,4,27,2003,1
Argentina,0,2,9,6.16,10,23,2005,1
Argentina,0,2,9,"NA",10,28,2007,1
Argentina,0,2,9,6.62,6,28,2009,1
Argentina,0,2,9,3.75,10,23,2011,1
Argentina,0,2,9,4.652134,10,27,2013,1
Argentina,0,2,9,"NA",10,25,2015,1
Argentinia,0,2,9,4.10906223680172,10,22,2017,1
Argentinia,0,2,9,2.5841061296522,10,27,2019,1
Armenia,0,3,12,4.18,7,5,1995,0
Armenia,0,3,12,4.77,5,30,1999,0
Armenia,0,3,12,5.33,5,23,2003,0
Armenia,0,3,12,5.26,5,12,2007,0
Armenia,0,3,12,3.336536,5,6,2012,0
Armenia,0,2,9,3.0262313735459,4,2,2017,0
Armenia,0,2,9,1.94439043359907,12,9,2018,0
Australia,0,1,3,2.74,9,28,1946,NA
Australia,0,1,3,2.64,12,10,1949,NA
Australia,0,1,3,2.49,4,28,1951,NA
Australia,0,1,3,2.46,5,29,1954,NA
Australia,0,1,3,2.73,12,10,1955,NA
Australia,0,1,3,2.97,11,22,1958,NA
Australia,0,1,3,2.81,12,9,1961,NA
Australia,0,1,3,2.79,11,30,1963,NA
Australia,0,1,3,2.98,11,26,1966,NA
Australia,0,1,3,2.83,10,25,1969,NA
Australia,0,1,3,2.77,12,2,1972,1
Australia,0,1,3,2.66,5,18,1974,1
Australia,0,1,3,2.69,12,13,1975,1
Australia,0,1,3,3.11,12,10,1977,1
Australia,0,1,3,2.81,10,18,1980,1
Australia,0,1,3,2.67,3,5,1983,1
Australia,0,1,3,2.79,12,1,1984,1
Australia,0,1,3,2.9,7,11,1987,1
Australia,0,1,3,3.33,3,24,1990,1
Australia,0,1,3,2.87,3,13,1993,1
Australia,0,1,3,3.19,3,2,1996,1
Australia,0,1,3,3.46,10,3,1998,1
Australia,0,1,3,3.44,11,10,2001,1
Australia,0,1,3,3.17,10,9,2004,1
Australia,0,1,3,3.03,11,24,2007,1
Australia,0,1,3,2.86,8,21,2010,1
Australia,0,1,3,3.00836,9,7,2013,1
Australia,0,1,3,3.214969,7,2,2016,1
Australia,0,1,3,3.35103798401555,5,18,2019,1
Austria,0,2,9,2.78,10,9,1949,NA
Austria,0,2,9,2.76,2,22,1953,NA
Austria,0,2,9,2.48,5,13,1956,NA
Austria,0,2,9,2.48,5,10,1959,NA
Austria,0,2,9,2.47,11,18,1962,NA
Austria,0,2,9,2.39,3,6,1966,NA
Austria,0,2,9,2.29,3,1,1970,NA
Austria,0,2,9,2.28,10,10,1971,NA
Austria,0,2,9,2.27,10,5,1975,1
Austria,0,2,9,2.28,5,6,1979,1
Austria,0,2,9,2.4,4,24,1983,1
Austria,0,2,9,2.72,11,23,1986,1
Austria,0,2,9,3.17,10,7,1990,1
Austria,0,2,9,3.87,10,9,1994,1
Austria,0,2,9,3.59,12,17,1995,1
Austria,0,2,9,3.82,10,3,1999,1
Austria,0,2,9,3.02,11,24,2002,1
Austria,0,2,9,3.71,10,1,2006,1
Austria,0,2,9,4.79,9,28,2008,1
Austria,0,2,9,5.149357,9,29,2013,1
Austria,0,2,9,4.06737194896262,10,15,2017,1
Austria,0,2,9,4.19771224682548,9,29,2019,1
Barbados,0,1,5,2.72,11,3,1966,NA
Barbados,0,1,1,1.96,9,9,1971,NA
Barbados,0,1,1,2.03,9,2,1976,1
Barbados,0,1,1,2.02,6,18,1981,0
Barbados,0,1,1,1.93,5,28,1986,1
Barbados,0,1,1,2.29,1,22,1991,1
Barbados,0,1,1,2.48,9,6,1994,1
Barbados,0,1,1,1.84,1,20,1999,1
Barbados,0,1,1,1.98,5,21,2003,1
Barbados,0,1,1,2,1,15,2008,1
Barbados,0,1,1,2.014317,2,21,2013,1
