elec_id,country,date,presidential,legislative_type,elecrule,tier1_formula,tier2_formula,tier3_formula,tier4_formula,mixed_type,multi,multi_linked,seats,tier1_avemag,tier1_districts,upperseats,uppertier,tier2_districts,tier3_districts,tier4_districts,enep,enep_others,enep1,enpp,enpp_others,enpp1,majority_bonus,enpres,preselecrule,region1,region2,region3,aclp_code,ccode,ccode2,year,month,day,regime,bmr_democracy,fh_democracy,p5_democracy,vd_polyarchy,dd_democracy,secondround,thirdround,Source,Additional.Sources,Comment
L-AAB-1984-4-17,Antigua & Barbuda,"April 17, 1984",0,1,1,1,NA,NA,NA,NA,0,0,17,1,17,0,0,0,0,0,1.92,7.2,1.94,1.12,5.9,1.13,0,NA,NA,8,8,7,144,58,58,1984,4,17,0,0,1,0,0,1,NA,NA,Keesing's. Nohlen et al.,,
L-AAB-1989-3-9,Antigua & Barbuda,"March 09, 1989",0,1,1,1,NA,NA,NA,NA,0,0,17,1,17,0,0,0,0,0,1.98,0.9,1.98,1.27,0,1.27,0,NA,NA,8,8,7,144,58,58,1989,3,9,0,0,1,0,0,1,NA,NA,CIA world factbook Nohlen et al.,,
L-AAB-1994-3-8,Antigua & Barbuda,"March 08, 1994",0,1,1,1,NA,NA,NA,NA,0,0,17,1,17,0,0,0,0,0,2.07,0,2.07,1.97,0,1.97,0,NA,NA,8,8,7,144,58,58,1994,3,8,0,0,0,0,0,1,NA,NA,CIA world factbook http://cdp.binghamton.edu/era/elections/a&b94par.html,,
L-AAB-1999-3-9,Antigua & Barbuda,"March 09, 1999",0,1,1,1,NA,NA,NA,NA,0,0,17,1,17,0,0,0,0,0,2.09,1.4,2.095,1.8,0,1.8,0,NA,NA,8,8,7,144,58,58,1999,3,9,0,0,0,0,0,1,NA,NA,CIA world factbook Adam Carr's Webpage,,
L-AAB-2004-3-23,Antigua & Barbuda,"March 23, 2004",0,1,1,1,NA,NA,NA,NA,0,0,17,1,17,0,0,0,0,0,2.07,2,2.07128635763579,1.8,0,1.8,0,NA,NA,8,8,7,144,58,58,2004,3,23,0,1,1,0,0,1,NA,NA,Carr,ElectionGuide.org; Wikipedia; Gallagher,double check Matt's old coding of electoral system
L-AAB-2009-3-12,Antigua & Barbuda,"March 12, 2009",0,1,1,1,NA,NA,NA,NA,0,0,17,1,17,0,0,0,0,0,2.07,0.5,2.07007498896543,2.21,0,2.21,0,NA,NA,8,8,7,144,58,58,2009,3,12,0,1,1,0,0,1,NA,NA,Carr,ElectionGuide.org; Gallagher,
L-AAB-2014-6-12,Antigua and Barbuda,"June 12, 2014",0,1,1,1,NA,NA,NA,NA,0,0,17,1,17,0,NA,0,0,0,2.02167,0,2.02167,1.409756,0,1.409756,0,NA,NA,8,8,7,144,58,58,2014,6,12,0,1,1,0,0,1,NA,NA,ElectionGuide.org,Wikipedia; CaribbeanElections.com,
L-AAB-2018-3-21,Antigua and Barbuda,"March 21, 2018",0,1,1,1,NA,NA,NA,NA,0,0,17,1,17,0,NA,0,0,0,2.03328073913821,0.02,2.03493577742686,1.27312775330396,0,1.27312775330396,0,NA,NA,8,8,7,144,58,58,2018,3,21,0,NA,1,0,0,1,NA,NA,"IPU PARLINE database: ANTIGUA AND BARBUDA (House of Representatives), Electoral system; Carr",,No change of government since last change of electoral rules (2002)?
L-ALB-1992-3-22,Albania,"March 22, 1992",0,3,11,4,13,NA,NA,4,1,1,140,1,100,40,28.57,1,0,0,2.19,0.2,2.19,1.95,0,1.95,0,NA,NA,9,9,4,143,339,339,1992,3,22,0,1,0,0,0,1,"March 29, 1992",NA,http://cdp.binghamton.edu/era/elections/alb92par.html,http://www.ifes.org/Content/Publications/Reports/1992/~/media/Files/Publications/VRC/Reports/1992/R01505/R01505.pdf,
L-ALB-1996-5-26,Albania,"May 26, 1996",0,3,12,4,12,NA,NA,2,1,0,140,1,115,25,17.86,1,0,0,2.73,9.4,2.785,1.31,0,1.31,0,NA,NA,9,9,4,143,339,339,1996,5,26,0,0,0,0,0,1,"June 2, 1996",NA,"Keesing's. two rounds,second is on 2nd of June, DP wins http://cdp.binghamton.edu/era/elections/alb96par.html",http://www.ifes.org/Content/Publications/Reports/1996/~/media/Files/Publications/VRC/Reports/1996/R01504/R01504.pdf,
